variable,x,y
pol_bio14,89.5,0.0984434112906456
pol_bio14,89.68,0.0984434112906456
pol_bio14,89.86,0.0984434112906456
pol_bio14,90.04,0.0984434112906456
pol_bio14,90.22,0.0984434112906456
pol_bio14,90.4,0.0984434112906456
pol_bio14,90.58,0.0984434112906456
pol_bio14,90.76,0.0984434112906456
pol_bio14,90.94,0.0984434112906456
pol_bio14,91.12,0.0984434112906456
pol_bio14,91.3,0.0984434112906456
pol_bio14,91.48,0.0984434112906456
pol_bio14,91.66,0.0984434112906456
pol_bio14,91.84,0.0984434112906456
pol_bio14,92.02,0.0984434112906456
pol_bio14,92.2,0.0984434112906456
pol_bio14,92.38,0.0984434112906456
pol_bio14,92.56,0.0984434112906456
pol_bio14,92.74,0.0984434112906456
pol_bio14,92.92,0.0984434112906456
pol_bio14,93.1,0.0984434112906456
pol_bio14,93.28,0.0984434112906456
pol_bio14,93.46,0.0984434112906456
pol_bio14,93.64,0.0984434112906456
pol_bio14,93.82,0.0984434112906456
pol_bio14,94.0,0.0984434112906456
pol_bio14,94.18,0.0984434112906456
pol_bio14,94.36,0.0984434112906456
pol_bio14,94.54,0.0984434112906456
pol_bio14,94.72,0.0984434112906456
pol_bio14,94.9,0.0984434112906456
pol_bio14,95.08,0.0984434112906456
pol_bio14,95.26,0.0984434112906456
pol_bio14,95.44,0.0984434112906456
pol_bio14,95.62,0.0984434112906456
pol_bio14,95.8,0.0984434112906456
pol_bio14,95.98,0.0984434112906456
pol_bio14,96.16,0.0984434112906456
pol_bio14,96.34,0.0984434112906456
pol_bio14,96.52,0.0984434112906456
pol_bio14,96.7,0.0984434112906456
pol_bio14,96.88,0.0984434112906456
pol_bio14,97.06,0.09870079159736633
pol_bio14,97.24,0.09947657585144043
pol_bio14,97.42,0.10025778412818909
pol_bio14,97.6,0.1010444313287735
pol_bio14,97.78,0.10183655470609665
pol_bio14,97.96000000000001,0.10263418406248093
pol_bio14,98.14,0.10343733429908752
pol_bio14,98.32,0.10424604266881943
pol_bio14,98.5,0.10506033152341843
pol_bio14,98.68,0.10588023066520691
pol_bio14,98.86,0.10670576244592667
pol_bio14,99.03999999999999,0.10753695666790009
