variable,x,y
pol_bio9,246.5,0.558826208114624
pol_bio9,246.56,0.558826208114624
pol_bio9,246.62,0.558826208114624
pol_bio9,246.68,0.558826208114624
pol_bio9,246.74,0.558826208114624
pol_bio9,246.8,0.558826208114624
pol_bio9,246.86,0.558826208114624
pol_bio9,246.92,0.558826208114624
pol_bio9,246.98,0.558826208114624
pol_bio9,247.04,0.558826208114624
pol_bio9,247.1,0.558826208114624
pol_bio9,247.16,0.558826208114624
pol_bio9,247.22,0.558826208114624
pol_bio9,247.28,0.558826208114624
pol_bio9,247.34,0.558826208114624
pol_bio9,247.4,0.558826208114624
pol_bio9,247.46,0.558826208114624
pol_bio9,247.52,0.558826208114624
pol_bio9,247.58,0.558826208114624
pol_bio9,247.64,0.558826208114624
pol_bio9,247.7,0.558826208114624
pol_bio9,247.76,0.558826208114624
pol_bio9,247.82,0.558826208114624
pol_bio9,247.88,0.558826208114624
pol_bio9,247.94,0.558826208114624
pol_bio9,248.0,0.558826208114624
pol_bio9,248.06,0.558826208114624
pol_bio9,248.12,0.558826208114624
pol_bio9,248.18,0.558826208114624
pol_bio9,248.24,0.558826208114624
pol_bio9,248.3,0.558826208114624
pol_bio9,248.36,0.558826208114624
pol_bio9,248.42,0.558826208114624
pol_bio9,248.48,0.558826208114624
pol_bio9,248.54,0.558826208114624
pol_bio9,248.6,0.558826208114624
pol_bio9,248.66,0.558826208114624
pol_bio9,248.72,0.558826208114624
pol_bio9,248.78,0.558826208114624
pol_bio9,248.84,0.558826208114624
pol_bio9,248.9,0.558826208114624
pol_bio9,248.96,0.558826208114624
pol_bio9,249.02,0.5589417219161987
pol_bio9,249.08,0.5592880845069885
pol_bio9,249.14,0.5596343874931335
pol_bio9,249.2,0.5599806308746338
pol_bio9,249.26,0.560326874256134
pol_bio9,249.32,0.5606730580329895
pol_bio9,249.38,0.5610191822052002
pol_bio9,249.44,0.5613651871681213
pol_bio9,249.5,0.5617111325263977
pol_bio9,249.56,0.5620570778846741
pol_bio9,249.62,0.5624029040336609
pol_bio9,249.68,0.5627486705780029
pol_bio9,249.74,0.5630944967269897
pol_bio9,249.8,0.5634401440620422
pol_bio9,249.86,0.5637857913970947
pol_bio9,249.92,0.5641313195228577
pol_bio9,249.98,0.5644767880439758
pol_bio9,250.04,0.5648221969604492
pol_bio9,250.1,0.5651676654815674
pol_bio9,250.16,0.5655129551887512
pol_bio9,250.22,0.5658581256866455
pol_bio9,250.28,0.5662032961845398
pol_bio9,250.34,0.5665484070777893
pol_bio9,250.4,0.566893458366394
pol_bio9,250.46,0.5672385096549988
pol_bio9,250.52,0.5675833821296692
pol_bio9,250.58,0.5679282546043396
pol_bio9,250.64,0.5682730078697205
pol_bio9,250.7,0.5686177015304565
