variable,x,y
pol_bio13,510.9,9.651855216361582E-4
pol_bio13,511.11839999999995,9.651855216361582E-4
pol_bio13,511.3368,9.651855216361582E-4
pol_bio13,511.55519999999996,9.651855216361582E-4
pol_bio13,511.7736,9.651855216361582E-4
pol_bio13,511.99199999999996,9.651855216361582E-4
pol_bio13,512.2103999999999,9.651855216361582E-4
pol_bio13,512.4288,9.651855216361582E-4
pol_bio13,512.6472,9.651855216361582E-4
pol_bio13,512.8656,9.651855216361582E-4
pol_bio13,513.084,9.651855216361582E-4
pol_bio13,513.3024,9.651855216361582E-4
pol_bio13,513.5208,9.651855216361582E-4
pol_bio13,513.7392,9.651855216361582E-4
pol_bio13,513.9576,9.651855216361582E-4
pol_bio13,514.1759999999999,9.651855216361582E-4
pol_bio13,514.3944,9.651855216361582E-4
pol_bio13,514.6128,9.651855216361582E-4
pol_bio13,514.8312,9.651855216361582E-4
pol_bio13,515.0495999999999,9.651855216361582E-4
pol_bio13,515.268,9.651855216361582E-4
pol_bio13,515.4864,9.651855216361582E-4
pol_bio13,515.7048,9.651855216361582E-4
pol_bio13,515.9232,9.651855216361582E-4
pol_bio13,516.1415999999999,9.651855216361582E-4
pol_bio13,516.36,9.651855216361582E-4
pol_bio13,516.5784,9.651855216361582E-4
pol_bio13,516.7968,9.651855216361582E-4
pol_bio13,517.0151999999999,9.651855216361582E-4
pol_bio13,517.2336,9.651855216361582E-4
pol_bio13,517.452,9.651855216361582E-4
pol_bio13,517.6704,9.651855216361582E-4
pol_bio13,517.8888,9.651855216361582E-4
pol_bio13,518.1072,9.651855216361582E-4
pol_bio13,518.3256,9.651855216361582E-4
pol_bio13,518.544,9.651855216361582E-4
pol_bio13,518.7624,9.651855216361582E-4
pol_bio13,518.9807999999999,9.651855216361582E-4
pol_bio13,519.1992,9.651855216361582E-4
pol_bio13,519.4176,9.651855216361582E-4
pol_bio13,519.636,9.651855216361582E-4
pol_bio13,519.8543999999999,9.651855216361582E-4
pol_bio13,520.0728,9.657177142798901E-4
pol_bio13,520.2912,9.673156309872866E-4
pol_bio13,520.5096,9.689162252470851E-4
pol_bio13,520.728,9.70519904512912E-4
pol_bio13,520.9464,9.721257956698537E-4
pol_bio13,521.1648,9.737343061715364E-4
pol_bio13,521.3832,9.753455524332821E-4
pol_bio13,521.6016,9.769598254933953E-4
pol_bio13,521.8199999999999,9.785763686522841E-4
pol_bio13,522.0384,9.80195589363575E-4
pol_bio13,522.2568,9.818174876272678E-4
pol_bio13,522.4752,9.8344252910465E-4
pol_bio13,522.6936,9.85069782473147E-4
pol_bio13,522.912,9.866997133940458E-4
pol_bio13,523.1304,9.883324382826686E-4
pol_bio13,523.3488,9.899681899696589E-4
pol_bio13,523.5672,9.916062699630857E-4
pol_bio13,523.7855999999999,9.932470275089145E-4
pol_bio13,524.004,9.948910446837544E-4
pol_bio13,524.2224,9.965372737497091E-4
pol_bio13,524.4408,9.981861803680658E-4
pol_bio13,524.6591999999999,9.998377645388246E-4
pol_bio13,524.8776,0.0010014927247539163
pol_bio13,525.096,0.0010031497804448009
pol_bio13,525.3144,0.0010048096301034093
pol_bio13,525.5328,0.0010064722737297416
pol_bio13,525.7511999999999,0.001008138176985085
pol_bio13,525.9696,0.0010098062921315432
pol_bio13,526.188,0.0010114772012457252
pol_bio13,526.4064,0.0010131507879123092
pol_bio13,526.6247999999999,0.0010148277506232262
pol_bio13,526.8432,0.0010165069252252579
pol_bio13,527.0616,0.0010181888937950134
pol_bio13,527.28,0.0010198741219937801
pol_bio13,527.4984,0.0010215616784989834
pol_bio13,527.7168,0.0010232520289719105
pol_bio13,527.9352,0.0010249451734125614
pol_bio13,528.1536,0.0010266415774822235
pol_bio13,528.372,0.0010283403098583221
pol_bio13,528.5903999999999,0.0010300418362021446
pol_bio13,528.8088,0.0010317462729290128
pol_bio13,529.0272,0.0010334538528695703
pol_bio13,529.2456,0.001035163877531886
pol_bio13,529.4639999999999,0.0010368768125772476
pol_bio13,529.6824,0.0010385924251750112
pol_bio13,529.9008,0.0010403114138171077
pol_bio13,530.1192,0.0010420328471809626
pol_bio13,530.3376,0.0010437570745125413
pol_bio13,530.556,0.0010454845614731312
pol_bio13,530.7744,0.0010472144931554794
pol_bio13,530.9928,0.0010489473352208734
pol_bio13,531.2112,0.0010506829712539911
pol_bio13,531.4295999999999,0.0010524219833314419
pol_bio13,531.648,0.0010541633237153292
pol_bio13,531.8664,0.001055907690897584
pol_bio13,532.0848,0.0010576548520475626
pol_bio13,532.3032,0.0010594053892418742
pol_bio13,532.5216,0.0010611583711579442
pol_bio13,532.74,0.001062914147041738
pol_bio13,532.9584,0.0010646729497238994
pol_bio13,533.1768,0.0010664351284503937
pol_bio13,533.3951999999999,0.0010681997518986464
pol_bio13,533.6136,0.0010699671693146229
pol_bio13,533.832,0.001071737613528967
pol_bio13,534.0504,0.0010735115502029657
pol_bio13,534.2687999999999,0.001075287815183401
pol_bio13,534.4872,0.0010770669905468822
pol_bio13,534.7056,0.0010788497747853398
pol_bio13,534.924,0.001080634887330234
pol_bio13,535.1424,0.001082422910258174
pol_bio13,535.3608,0.0010842139599844813
pol_bio13,535.5792,0.0010860085021704435
pol_bio13,535.7976,0.001087805489078164
pol_bio13,536.016,0.0010896053863689303
pol_bio13,536.2343999999999,0.001091408310458064
pol_bio13,536.4528,0.0010932147270068526
pol_bio13,536.6712,0.0010950237046927214
pol_bio13,536.8896,0.0010968355927616358
pol_bio13,537.108,0.0010986505076289177
pol_bio13,537.3264,0.0011004689149558544
pol_bio13,537.5448,0.0011022897670045495
pol_bio13,537.7632,0.001104113645851612
pol_bio13,537.9816,0.0011059411335736513
pol_bio13,538.2,0.001107771066017449
pol_bio13,538.4184,0.0011096041416749358
pol_bio13,538.6368,0.0011114401277154684
pol_bio13,538.8552,0.0011132797226309776
pol_bio13,539.0735999999999,0.0011151217622682452
pol_bio13,539.292,0.0011169669451192021
pol_bio13,539.5104,0.0011188151547685266
pol_bio13,539.7288,0.0011206669732928276
pol_bio13,539.9472,0.001122521236538887
pol_bio13,540.1656,0.0011243786429986358
pol_bio13,540.384,0.001126239076256752
pol_bio13,540.6024,0.0011281032348051667
pol_bio13,540.8208,0.0011299698380753398
pol_bio13,541.0391999999999,0.0011318395845592022
pol_bio13,541.2576,0.0011337128235027194
pol_bio13,541.476,0.0011355887399986386
pol_bio13,541.6944,0.0011374677997082472
pol_bio13,541.9128,0.0011393498862162232
pol_bio13,542.1312,0.0011412356980144978
pol_bio13,542.3496,0.0011431240709498525
pol_bio13,542.568,0.0011450155870988965
pol_bio13,542.7864,0.001146910130046308
pol_bio13,543.0047999999999,0.001148808398284018
pol_bio13,543.2232,0.00115070934407413
pol_bio13,543.4416,0.0011526133166626096
pol_bio13,543.66,0.0011545205488801003
pol_bio13,543.8783999999999,0.0011564313899725676
pol_bio13,544.0968,0.0011583449086174369
pol_bio13,544.3152,0.0011602615704759955
pol_bio13,544.5336,0.0011621819576248527
pol_bio13,544.752,0.0011641050223261118
pol_bio13,544.9704,0.0011660312302410603
pol_bio13,545.1888,0.001167960581369698
pol_bio13,545.4072,0.0011698936577886343
pol_bio13,545.6256,0.0011718295281752944
pol_bio13,545.844,0.001173768425360322
pol_bio13,546.0624,0.0011757106985896826
pol_bio13,546.2808,0.0011776565806940198
pol_bio13,546.4992,0.0011796052567660809
pol_bio13,546.7176,0.0011815570760518312
pol_bio13,546.936,0.0011835121549665928
pol_bio13,547.1544,0.0011854710755869746
pol_bio13,547.3728,0.0011874325573444366
pol_bio13,547.5912,0.0011893974151462317
pol_bio13,547.8096,0.001191365416161716
pol_bio13,548.028,0.0011933372588828206
pol_bio13,548.2464,0.001195311895571649
pol_bio13,548.4648,0.0011972896754741669
pol_bio13,548.6831999999999,0.0011992714134976268
pol_bio13,548.9016,0.0012012557126581669
pol_bio13,549.12,0.00120324338786304
pol_bio13,549.3384,0.001205234439112246
pol_bio13,549.5568,0.0012072292156517506
pol_bio13,549.7752,0.001209226786158979
pol_bio13,549.9936,0.0012112276162952185
pol_bio13,550.212,0.001213231822475791
pol_bio13,550.4304,0.0012152398703619838
pol_bio13,550.6487999999999,0.0012172507122159004
pol_bio13,550.8672,0.0012192648136988282
pol_bio13,551.0856,0.001221282291226089
pol_bio13,551.304,0.00122330361045897
pol_bio13,551.5224,0.0012253278400748968
pol_bio13,551.7408,0.0012273553293198347
pol_bio13,551.9592,0.0012293867766857147
pol_bio13,552.1776,0.0012314210180193186
pol_bio13,552.396,0.0012334585189819336
pol_bio13,552.6144,0.0012354995124042034
pol_bio13,552.8328,0.0012375444639474154
pol_bio13,553.0512,0.0012395920930430293
pol_bio13,553.2696,0.001241643214598298
pol_bio13,553.4879999999999,0.0012436977121978998
pol_bio13,553.7064,0.0012457562843337655
pol_bio13,553.9248,0.0012478175340220332
pol_bio13,554.1432,0.0012498822761699557
pol_bio13,554.3616,0.0012519503943622112
pol_bio13,554.58,0.0012540224706754088
pol_bio13,554.7984,0.0012560974573716521
pol_bio13,555.0168,0.0012581759365275502
pol_bio13,555.2352,0.0012602583738043904
pol_bio13,555.4536,0.0012623437214642763
pol_bio13,555.672,0.0012644324451684952
pol_bio13,555.8904,0.0012665246613323689
pol_bio13,556.1088,0.0012686208356171846
pol_bio13,556.3272,0.001270720036700368
pol_bio13,556.5456,0.0012728226138278842
pol_bio13,556.764,0.0012749286834150553
pol_bio13,556.9824,0.0012770389439538121
pol_bio13,557.2008,0.0012791519984602928
pol_bio13,557.4192,0.0012812685454264283
pol_bio13,557.6376,0.0012833885848522186
pol_bio13,557.856,0.0012855128152295947
pol_bio13,558.0744,0.0012876398395746946
pol_bio13,558.2927999999999,0.0012897704727947712
pol_bio13,558.5112,0.0012919051805511117
pol_bio13,558.7296,0.0012940429151058197
pol_bio13,558.948,0.0012961841421201825
pol_bio13,559.1664,0.0012983288615942001
pol_bio13,559.3848,0.0013004777720198035
pol_bio13,559.6032,0.0013016121229156852
pol_bio13,559.8216,0.0013016121229156852
pol_bio13,560.04,0.0013016121229156852
pol_bio13,560.2584,0.0013016121229156852
pol_bio13,560.4768,0.0013016121229156852
pol_bio13,560.6952,0.0013016121229156852
pol_bio13,560.9136,0.0013016121229156852
pol_bio13,561.132,0.0013016121229156852
pol_bio13,561.3504,0.0013016121229156852
pol_bio13,561.5688,0.0013016121229156852
pol_bio13,561.7872,0.0013016121229156852
pol_bio13,562.0056,0.0013016121229156852
pol_bio13,562.224,0.0013016121229156852
pol_bio13,562.4424,0.0013016121229156852
pol_bio13,562.6608,0.0012973184930160642
pol_bio13,562.8792,0.0012915109982714057
pol_bio13,563.0976,0.0012857293477281928
pol_bio13,563.316,0.0012799737742170691
pol_bio13,563.5344,0.0012742421822622418
pol_bio13,563.7528,0.0012685379479080439
pol_bio13,563.9712,0.001262859208509326
pol_bio13,564.1896,0.0012572059640660882
pol_bio13,564.408,0.0012515763519331813
pol_bio13,564.6264,0.0012459736317396164
pol_bio13,564.8448,0.0012403959408402443
pol_bio13,565.0632,0.0012348431628197432
pol_bio13,565.2816,0.0012293137842789292
pol_bio13,565.5,0.0012238105991855264
pol_bio13,565.7184,0.0012183320941403508
pol_bio13,565.9368,0.001212876639328897
pol_bio13,566.1552,0.0012074471451342106
pol_bio13,566.3736,0.0012020418653264642
pol_bio13,566.592,0.0011966607999056578
pol_bio13,566.8104,0.0011913023190572858
pol_bio13,567.0288,0.0011859694495797157
pol_bio13,567.2472,0.0011806603288277984
pol_bio13,567.4656,0.0011753749568015337
pol_bio13,567.684,0.001170111820101738
pol_bio13,567.9024,0.001164873712696135
pol_bio13,568.1208,0.0011596591211855412
pol_bio13,568.3392,0.0011544678127393126
pol_bio13,568.5576,0.0011492982739582658
pol_bio13,568.776,0.0011441532988101244
pol_bio13,568.9944,0.0011390314903110266
pol_bio13,569.2128,0.001133930985815823
pol_bio13,569.4312,0.0011288549285382032
pol_bio13,569.6496,0.0011238014558330178
pol_bio13,569.868,0.0011187706841155887
pol_bio13,570.0864,0.0011137609835714102
pol_bio13,570.3048,0.0011087751481682062
pol_bio13,570.5232,0.001103811664506793
pol_bio13,570.7416000000001,0.001098870299756527
pol_bio13,570.96,0.001093949773348868
pol_bio13,571.1784,0.001089052646420896
pol_bio13,571.3968,0.0010841774055734277
pol_bio13,571.6152,0.001079323934391141
pol_bio13,571.8336,0.0010744909523054957
pol_bio13,572.052,0.0010696809040382504
pol_bio13,572.2704,0.0010648923926055431
pol_bio13,572.4888,0.001060125301592052
pol_bio13,572.7072000000001,0.001055378234013915
pol_bio13,572.9256,0.0010506537510082126
pol_bio13,573.144,0.0010459504555910826
pol_bio13,573.3624,0.0010412668343633413
pol_bio13,573.5808,0.0010366055648773909
pol_bio13,573.7992,0.0010319650173187256
pol_bio13,574.0176,0.0010273454245179892
pol_bio13,574.236,0.0010227450402453542
pol_bio13,574.4544,0.0010181666584685445
pol_bio13,574.6728,0.0010136087657883763
pol_bio13,574.8912,0.001009071245789528
pol_bio13,575.1096,0.001004552817903459
pol_bio13,575.328,0.0010000558104366064
pol_bio13,575.5464,9.955790592357516E-4
pol_bio13,575.7648,9.911222150549293E-4
pol_bio13,575.9832,9.86684113740921E-4
pol_bio13,576.2016,9.822672000154853E-4
pol_bio13,576.42,9.778699604794383E-4
pol_bio13,576.6384,9.734912309795618E-4
pol_bio13,576.8568,9.691333398222923E-4
pol_bio13,577.0752,9.64794890023768E-4
pol_bio13,577.2936,9.604759397916496E-4
pol_bio13,577.512,9.561750921420753E-4
pol_bio13,577.7304,9.518946753814816E-4
pol_bio13,577.9488,9.476334671489894E-4
pol_bio13,578.1672,9.433912928216159E-4
pol_bio13,578.3856000000001,9.39166930038482E-4
pol_bio13,578.604,9.349626488983631E-4
pol_bio13,578.8224,9.307772270403802E-4
pol_bio13,579.0408,9.266105480492115E-4
pol_bio13,579.2592,9.224613313563168E-4
pol_bio13,579.4776,9.183318470604718E-4
pol_bio13,579.696,9.142208728007972E-4
pol_bio13,579.9144,9.101271280087531E-4
pol_bio13,580.1328,9.060528827831149E-4
pol_bio13,580.3512000000001,9.019968565553427E-4
pol_bio13,580.5696,8.979589911177754E-4
pol_bio13,580.788,8.93938064109534E-4
pol_bio13,581.0064,8.899362874217331E-4
pol_bio13,581.2248,8.859523804858327E-4
pol_bio13,581.4432,8.819863433018327E-4
pol_bio13,581.6616,8.780369535088539E-4
pol_bio13,581.88,8.741063647903502E-4
pol_bio13,582.0984,8.701933547854424E-4
pol_bio13,582.3168000000001,8.662978652864695E-4
pol_bio13,582.5352,8.624187321402133E-4
pol_bio13,582.7536,8.585580508224666E-4
pol_bio13,582.972,8.547146571800113E-4
pol_bio13,583.1904,8.50887387059629E-4
pol_bio13,583.4088,8.470782777294517E-4
pol_bio13,583.6272,8.432862814515829E-4
pol_bio13,583.8456,8.3951122360304E-4
pol_bio13,584.064,8.357520564459264E-4
pol_bio13,584.2824,8.320107590407133E-4
pol_bio13,584.5008,8.282861672341824E-4
pol_bio13,584.7192,8.245782810263336E-4
pol_bio13,584.9376,8.208859362639487E-4
pol_bio13,585.156,8.172111702151597E-4
pol_bio13,585.3744,8.135528769344091E-4
pol_bio13,585.5928,8.099109400063753E-4
pol_bio13,585.8112,8.062843116931617E-4
pol_bio13,586.0296000000001,8.026749128475785E-4
pol_bio13,586.248,7.990816375240684E-4
pol_bio13,586.4664,7.955044857226312E-4
pol_bio13,586.6848,7.919423514977098E-4
pol_bio13,586.9032,7.883971557021141E-4
pol_bio13,587.1216000000001,7.848678505979478E-4
pol_bio13,587.34,7.813533302396536E-4
pol_bio13,587.5584,7.778555154800415E-4
pol_bio13,587.7768,7.743734167888761E-4
pol_bio13,587.9952,7.709068595431745E-4
pol_bio13,588.2136,7.674548542127013E-4
pol_bio13,588.432,7.640192634426057E-4
pol_bio13,588.6504,7.605990977026522E-4
pol_bio13,588.8688,7.57194182369858E-4
pol_bio13,589.0872,7.538035861216486E-4
pol_bio13,589.3056,7.504291133955121E-4
pol_bio13,589.524,7.470697746612132E-4
pol_bio13,589.7424,7.437254535034299E-4
pol_bio13,589.9608000000001,7.403951603919268E-4
pol_bio13,590.1792,7.37080757971853E-4
pol_bio13,590.3976,7.337811402976513E-4
pol_bio13,590.616,7.30495376046747E-4
pol_bio13,590.8344,7.272252696566284E-4
pol_bio13,591.0528,7.23969773389399E-4
pol_bio13,591.2712,7.20728887245059E-4
pol_bio13,591.4896,7.175015634857118E-4
pol_bio13,591.708,7.142896065488458E-4
pol_bio13,591.9264000000001,7.110920269042253E-4
pol_bio13,592.1448,7.079087663441896E-4
pol_bio13,592.3632,7.04738893546164E-4
pol_bio13,592.5816,7.015840383246541E-4
pol_bio13,592.8,6.984433275647461E-4
pol_bio13,593.0184,6.953167030587792E-4
pol_bio13,593.2368,6.922031752765179E-4
pol_bio13,593.4552,6.891044904477894E-4
pol_bio13,593.6736,6.860196590423584E-4
pol_bio13,593.892,6.829477497376502E-4
pol_bio13,594.1104,6.798905087634921E-4
pol_bio13,594.3288,6.768468883819878E-4
pol_bio13,594.5472,6.738169468007982E-4
pol_bio13,594.7656,6.707996944896877E-4
pol_bio13,594.984,6.677968194708228E-4
pol_bio13,595.2024,6.64807390421629E-4
pol_bio13,595.4208,6.618312909267843E-4
pol_bio13,595.6392000000001,6.58867706079036E-4
pol_bio13,595.8576,6.559182656928897E-4
pol_bio13,596.076,6.529819802381098E-4
pol_bio13,596.2944,6.500588497146964E-4
pol_bio13,596.5128,6.471480010077357E-4
pol_bio13,596.7312000000001,6.442510057240725E-4
