variable,x,y
pol_bio16,1407.9,1.0842087067430839E-4
pol_bio16,1408.2864000000002,1.0842087067430839E-4
pol_bio16,1408.6728,1.0842087067430839E-4
pol_bio16,1409.0592000000001,1.0842087067430839E-4
pol_bio16,1409.4456,1.0842087067430839E-4
pol_bio16,1409.832,1.0842087067430839E-4
pol_bio16,1410.2184000000002,1.0842087067430839E-4
pol_bio16,1410.6048,1.0842087067430839E-4
pol_bio16,1410.9912000000002,1.0842087067430839E-4
pol_bio16,1411.3776,1.0842087067430839E-4
pol_bio16,1411.7640000000001,1.0842087067430839E-4
pol_bio16,1412.1504,1.0842087067430839E-4
pol_bio16,1412.5368,1.0842087067430839E-4
pol_bio16,1412.9232000000002,1.0842087067430839E-4
pol_bio16,1413.3096,1.0842087067430839E-4
pol_bio16,1413.6960000000001,1.0842087067430839E-4
pol_bio16,1414.0824,1.0842087067430839E-4
pol_bio16,1414.4688,1.0842087067430839E-4
pol_bio16,1414.8552000000002,1.0842087067430839E-4
pol_bio16,1415.2416,1.0842087067430839E-4
pol_bio16,1415.6280000000002,1.0842087067430839E-4
pol_bio16,1416.0144,1.0842087067430839E-4
pol_bio16,1416.4008000000001,1.0842087067430839E-4
pol_bio16,1416.7872,1.0842087067430839E-4
pol_bio16,1417.1736,1.0842087067430839E-4
pol_bio16,1417.5600000000002,1.0842087067430839E-4
pol_bio16,1417.9464,1.0842087067430839E-4
pol_bio16,1418.3328000000001,1.0842087067430839E-4
pol_bio16,1418.7192,1.0842087067430839E-4
pol_bio16,1419.1056,1.0842087067430839E-4
pol_bio16,1419.4920000000002,1.0842087067430839E-4
pol_bio16,1419.8784,1.0842087067430839E-4
pol_bio16,1420.2648000000002,1.0842087067430839E-4
pol_bio16,1420.6512,1.0842087067430839E-4
pol_bio16,1421.0376,1.0842087067430839E-4
pol_bio16,1421.424,1.0842087067430839E-4
pol_bio16,1421.8104,1.0842087067430839E-4
pol_bio16,1422.1968000000002,1.0842087067430839E-4
pol_bio16,1422.5832,1.0842087067430839E-4
pol_bio16,1422.9696000000001,1.0842087067430839E-4
pol_bio16,1423.356,1.0842087067430839E-4
pol_bio16,1423.7424,1.0842087067430839E-4
pol_bio16,1424.1288000000002,1.0872329585254192E-4
pol_bio16,1424.5152,1.0963594104396179E-4
pol_bio16,1424.9016000000001,1.1055594950448722E-4
pol_bio16,1425.288,1.114836850319989E-4
pol_bio16,1425.6744,1.1241949687246233E-4
pol_bio16,1426.0608,1.133628684328869E-4
pol_bio16,1426.4472,1.1431414895923808E-4
pol_bio16,1426.8336000000002,1.1527372407726943E-4
pol_bio16,1427.22,1.1624104809015989E-4
pol_bio16,1427.6064000000001,1.1721679766196758E-4
pol_bio16,1427.9928,1.182004198199138E-4
pol_bio16,1428.3792,1.1919230018975213E-4
pol_bio16,1428.7656000000002,1.2019282439723611E-4
pol_bio16,1429.152,1.2120142491767183E-4
pol_bio16,1429.5384000000001,1.2221881479490548E-4
pol_bio16,1429.9248,1.2324440467637032E-4
pol_bio16,1430.3112,1.2427862384356558E-4
pol_bio16,1430.6976,1.2532183609437197E-4
