variable,x,y
pol_bio18,461.5,5.813073585159145E-5
pol_bio18,461.992,5.813073585159145E-5
pol_bio18,462.484,5.813073585159145E-5
pol_bio18,462.976,5.813073585159145E-5
pol_bio18,463.468,5.813073585159145E-5
pol_bio18,463.96,5.813073585159145E-5
pol_bio18,464.452,5.813073585159145E-5
pol_bio18,464.944,5.813073585159145E-5
pol_bio18,465.436,5.813073585159145E-5
pol_bio18,465.928,5.813073585159145E-5
pol_bio18,466.42,5.813073585159145E-5
pol_bio18,466.912,5.813073585159145E-5
pol_bio18,467.404,5.813073585159145E-5
pol_bio18,467.896,5.813073585159145E-5
pol_bio18,468.388,5.813073585159145E-5
pol_bio18,468.88,5.813073585159145E-5
pol_bio18,469.372,5.813073585159145E-5
pol_bio18,469.864,5.813073585159145E-5
pol_bio18,470.356,5.813073585159145E-5
pol_bio18,470.848,5.813073585159145E-5
pol_bio18,471.34,5.813073585159145E-5
pol_bio18,471.832,5.813073585159145E-5
pol_bio18,472.324,5.813073585159145E-5
pol_bio18,472.816,5.813073585159145E-5
pol_bio18,473.308,5.813073585159145E-5
pol_bio18,473.8,5.813073585159145E-5
pol_bio18,474.292,5.813073585159145E-5
pol_bio18,474.784,5.813073585159145E-5
pol_bio18,475.276,5.813073585159145E-5
pol_bio18,475.76800000000003,5.813073585159145E-5
pol_bio18,476.26,5.813073585159145E-5
pol_bio18,476.752,5.813073585159145E-5
pol_bio18,477.244,5.813073585159145E-5
pol_bio18,477.736,5.813073585159145E-5
pol_bio18,478.228,5.813073585159145E-5
pol_bio18,478.72,5.813073585159145E-5
pol_bio18,479.212,5.813073585159145E-5
pol_bio18,479.704,5.813073585159145E-5
pol_bio18,480.196,5.813073585159145E-5
pol_bio18,480.688,5.813073585159145E-5
pol_bio18,481.18,5.813073585159145E-5
pol_bio18,481.672,5.813073585159145E-5
pol_bio18,482.164,5.835567571921274E-5
pol_bio18,482.656,5.90357267356012E-5
pol_bio18,483.148,5.972370126983151E-5
pol_bio18,483.64,6.041969754733145E-5
pol_bio18,484.132,6.112375558586791E-5
pol_bio18,484.624,6.183606456033885E-5
pol_bio18,485.116,6.255667540244758E-5
pol_bio18,485.608,6.328568269964308E-5
pol_bio18,486.1,6.402318831533194E-5
pol_bio18,486.592,6.476928683696315E-5
pol_bio18,487.084,6.552407285198569E-5
pol_bio18,487.576,6.628761911997572E-5
pol_bio18,488.068,6.706010026391596E-5
pol_bio18,488.56,6.784158904338256E-5
pol_bio18,489.052,6.863218732178211E-5
pol_bio18,489.544,6.943199696252123E-5
pol_bio18,490.036,7.024112710496411E-5
pol_bio18,490.528,7.105968688847497E-5
pol_bio18,491.02,7.188772724475712E-5
pol_bio18,491.512,7.27254810044542E-5
pol_bio18,492.004,7.35729918233119E-5
pol_bio18,492.496,7.443037611665204E-5
pol_bio18,492.988,7.529775029979646E-5
pol_bio18,493.48,7.61752380640246E-5
pol_bio18,493.972,7.706289761699736E-5
pol_bio18,494.464,7.796095451340079E-5
pol_bio18,494.956,7.886947423685342E-5
pol_bio18,495.448,7.97885877545923E-5
pol_bio18,495.94,8.071840420598164E-5
pol_bio18,496.432,8.165906183421612E-5
pol_bio18,496.924,8.261067705461755E-5
pol_bio18,497.416,8.35733299027197E-5
pol_bio18,497.908,8.454725320916623E-5
