variable,x,y
pol_bio18,461.5,5.786661640740931E-4
pol_bio18,461.992,5.786661640740931E-4
pol_bio18,462.484,5.786661640740931E-4
pol_bio18,462.976,5.786661640740931E-4
pol_bio18,463.468,5.786661640740931E-4
pol_bio18,463.96,5.786661640740931E-4
pol_bio18,464.452,5.786661640740931E-4
pol_bio18,464.944,5.786661640740931E-4
pol_bio18,465.436,5.786661640740931E-4
pol_bio18,465.928,5.786661640740931E-4
pol_bio18,466.42,5.786661640740931E-4
pol_bio18,466.912,5.786661640740931E-4
pol_bio18,467.404,5.786661640740931E-4
pol_bio18,467.896,5.786661640740931E-4
pol_bio18,468.388,5.786661640740931E-4
pol_bio18,468.88,5.786661640740931E-4
pol_bio18,469.372,5.786661640740931E-4
pol_bio18,469.864,5.786661640740931E-4
pol_bio18,470.356,5.786661640740931E-4
pol_bio18,470.848,5.786661640740931E-4
pol_bio18,471.34,5.786661640740931E-4
pol_bio18,471.832,5.786661640740931E-4
pol_bio18,472.324,5.786661640740931E-4
pol_bio18,472.816,5.786661640740931E-4
pol_bio18,473.308,5.786661640740931E-4
pol_bio18,473.8,5.786661640740931E-4
pol_bio18,474.292,5.786661640740931E-4
pol_bio18,474.784,5.786661640740931E-4
pol_bio18,475.276,5.786661640740931E-4
pol_bio18,475.76800000000003,5.786661640740931E-4
pol_bio18,476.26,5.786661640740931E-4
pol_bio18,476.752,5.786661640740931E-4
pol_bio18,477.244,5.786661640740931E-4
pol_bio18,477.736,5.786661640740931E-4
pol_bio18,478.228,5.786661640740931E-4
pol_bio18,478.72,5.786661640740931E-4
pol_bio18,479.212,5.786661640740931E-4
pol_bio18,479.704,5.786661640740931E-4
pol_bio18,480.196,5.786661640740931E-4
pol_bio18,480.688,5.786661640740931E-4
pol_bio18,481.18,5.786661640740931E-4
pol_bio18,481.672,5.786661640740931E-4
pol_bio18,482.164,5.795606994070113E-4
pol_bio18,482.656,5.822526291012764E-4
pol_bio18,483.148,5.84957015234977E-4
pol_bio18,483.64,5.876740324310958E-4
pol_bio18,484.132,5.904034478589892E-4
pol_bio18,484.624,5.931457271799445E-4
pol_bio18,485.116,5.959006957709789E-4
pol_bio18,485.608,5.986685282550752E-4
pol_bio18,486.1,6.014491664245725E-4
pol_bio18,486.592,6.042427266947925E-4
pol_bio18,487.084,6.070492672733963E-4
pol_bio18,487.576,6.098687299527228E-4
pol_bio18,488.068,6.127014057710767E-4
pol_bio18,488.56,6.15547236520797E-4
pol_bio18,489.052,6.184062804095447E-4
pol_bio18,489.544,6.212785956449807E-4
pol_bio18,490.036,6.241642986424267E-4
pol_bio18,490.528,6.270633894018829E-4
pol_bio18,491.02,6.299757515080273E-4
pol_bio18,491.512,6.329017924144864E-4
pol_bio18,492.004,6.358414539135993E-4
pol_bio18,492.496,6.387947942130268E-4
pol_bio18,492.988,6.417618133127689E-4
pol_bio18,493.48,6.447426276281476E-4
pol_bio18,493.972,6.477371207438409E-4
pol_bio18,494.464,6.507457001134753E-4
pol_bio18,494.956,6.537682493217289E-4
pol_bio18,495.448,6.568048265762627E-4
pol_bio18,495.94,6.598554900847375E-4
pol_bio18,496.432,6.629203562624753E-4
pol_bio18,496.924,6.659994251094759E-4
pol_bio18,497.416,6.690926384180784E-4
pol_bio18,497.908,6.722004036419094E-4
pol_bio18,498.4,6.753226043656468E-4
pol_bio18,498.892,6.784592987969518E-4
pol_bio18,499.384,6.816105451434851E-4
pol_bio18,499.876,6.847764598205686E-4
pol_bio18,500.368,6.879570428282022E-4
pol_bio18,500.86,6.911522359587252E-4
pol_bio18,501.352,6.943624466657639E-4
pol_bio18,501.844,6.975876167416573E-4
pol_bio18,502.336,7.008276879787445E-4
pol_bio18,502.828,7.040828932076693E-4
pol_bio18,503.32,7.073531742207706E-4
pol_bio18,503.812,7.106386474333704E-4
pol_bio18,504.304,7.139391382224858E-4
pol_bio18,504.796,7.17255228664726E-4
pol_bio18,505.288,7.205866859294474E-4
pol_bio18,505.78,7.239336264319718E-4
pol_bio18,506.272,7.272961083799601E-4
pol_bio18,506.764,7.306741899810731E-4
pol_bio18,507.256,7.340679876506329E-4
pol_bio18,507.748,7.374773267656565E-4
pol_bio18,508.24,7.409027311950922E-4
pol_bio18,508.73199999999997,7.443440263159573E-4
pol_bio18,509.224,7.478012703359127E-4
pol_bio18,509.716,7.512746378779411E-4
pol_bio18,510.20799999999997,7.547641289420426E-4
pol_bio18,510.7,7.58269801735878E-4
pol_bio18,511.192,7.617915398441255E-4
pol_bio18,511.68399999999997,7.653298671357334E-4
pol_bio18,512.176,7.688848418183625E-4
pol_bio18,512.668,7.724561146460474E-4
pol_bio18,513.16,7.760435109958053E-4
pol_bio18,513.652,7.796480203978717E-4
pol_bio18,514.144,7.832692936062813E-4
pol_bio18,514.636,7.869073888286948E-4
pol_bio18,515.128,7.905623642727733E-4
pol_bio18,515.62,7.942343363538384E-4
pol_bio18,516.112,7.979233050718904E-4
pol_bio18,516.604,8.016294450499117E-4
pol_bio18,517.096,8.053528144955635E-4
pol_bio18,517.588,8.090934716165066E-4
pol_bio18,518.08,8.128515328280628E-4
pol_bio18,518.572,8.166269981302321E-4
pol_bio18,519.064,8.204200421459973E-4
pol_bio18,519.556,8.242306648753583E-4
pol_bio18,520.048,8.280585170723498E-4
pol_bio18,520.54,8.319046464748681E-4
pol_bio18,521.032,8.357685874216259E-4
pol_bio18,521.524,8.396505145356059E-4
pol_bio18,522.016,8.435504860244691E-4
pol_bio18,522.508,8.474685600958765E-4
pol_bio18,523.0,8.514048531651497E-4
pol_bio18,523.492,8.553593652322888E-4
pol_bio18,523.984,8.593323291279376E-4
pol_bio18,524.476,8.633236866444349E-4
pol_bio18,524.968,8.673336124047637E-4
pol_bio18,525.46,8.713621064089239E-4
pol_bio18,525.952,8.754094014875591E-4
pol_bio18,526.444,8.794749155640602E-4
pol_bio18,526.936,8.835598709993064E-4
pol_bio18,527.428,8.876637439243495E-4
pol_bio18,527.92,8.917867089621723E-4
pol_bio18,528.412,8.959288243204355E-4
pol_bio18,528.904,9.000902064144611E-4
pol_bio18,529.396,9.042708552442491E-4
pol_bio18,529.888,9.084709454327822E-4
pol_bio18,530.38,9.126905933953822E-4
pol_bio18,530.872,9.169297991320491E-4
pol_bio18,531.364,9.211886790581048E-4
pol_bio18,531.856,9.25467349588871E-4
pol_bio18,532.348,9.297659271396697E-4
pol_bio18,532.84,9.340844699181616E-4
pol_bio18,533.332,9.384224540553987E-4
pol_bio18,533.824,9.427812183275819E-4
pol_bio18,534.316,9.47160180658102E-4
pol_bio18,534.808,9.515595156699419E-4
pol_bio18,535.3,9.559792233631015E-4
pol_bio18,535.792,9.604195365682244E-4
pol_bio18,536.284,9.648803970776498E-4
pol_bio18,536.776,9.693620377220213E-4
pol_bio18,537.268,9.73864458501339E-4
pol_bio18,537.76,9.783877758309245E-4
pol_bio18,538.252,9.829321643337607E-4
pol_bio18,538.744,9.874976240098476E-4
pol_bio18,539.236,9.92084271274507E-4
pol_bio18,539.728,9.966922225430608E-4
pol_bio18,540.22,0.0010013210121542215
pol_bio18,540.712,0.0010059719206765294
pol_bio18,541.204,0.0010106443660333753
pol_bio18,541.696,0.0010153385810554028
pol_bio18,542.188,0.0010200545657426119
pol_bio18,542.6800000000001,0.0010247924365103245
pol_bio18,543.172,0.0010295523097738624
pol_bio18,543.664,0.0010343343019485474
pol_bio18,544.156,0.0010391385294497013
pol_bio18,544.648,0.001043965108692646
pol_bio18,545.14,0.0010488140396773815
pol_bio18,545.6320000000001,0.0010536855552345514
pol_bio18,546.124,0.001058579538948834
pol_bio18,546.616,0.0010634964564815164
pol_bio18,547.108,0.001068435492925346
pol_bio18,547.6,0.0010733980452641845
pol_bio18,548.092,0.0010783837642520666
pol_bio18,548.5840000000001,0.0010833925334736705
pol_bio18,549.076,0.0010884245857596397
pol_bio18,549.568,0.0010934800375252962
pol_bio18,550.06,0.0010985590051859617
pol_bio18,550.552,0.0011036614887416363
pol_bio18,551.044,0.0011087877210229635
pol_bio18,551.5360000000001,0.0011139377020299435
pol_bio18,552.028,0.0011191116645932198
pol_bio18,552.52,0.0011243097251281142
pol_bio18,553.012,0.001129531767219305
pol_bio18,553.504,0.0011347781401127577
pol_bio18,553.996,0.001140048261731863
pol_bio18,554.488,0.001145343529060483
pol_bio18,554.98,0.0011506633600220084
pol_bio18,555.472,0.0011560078710317612
pol_bio18,555.9639999999999,0.001161377178505063
pol_bio18,556.456,0.0011667715152725577
pol_bio18,556.948,0.0011721908813342452
pol_bio18,557.44,0.0011776353931054473
pol_bio18,557.932,0.0011831051670014858
pol_bio18,558.424,0.0011886004358530045
pol_bio18,558.9159999999999,0.0011941210832446814
pol_bio18,559.408,0.001199667458422482
pol_bio18,559.9,0.0012052396778017282
pol_bio18,560.392,0.0012108376249670982
pol_bio18,560.884,0.0012164609506726265
pol_bio18,561.376,0.0012221111683174968
pol_bio18,561.8679999999999,0.0012277875794097781
pol_bio18,562.36,0.0012334903003647923
pol_bio18,562.852,0.0012392195640131831
pol_bio18,563.344,0.0012449753703549504
pol_bio18,563.836,0.001250757952220738
pol_bio18,564.328,0.0012565674260258675
pol_bio18,564.8199999999999,0.001262403791770339
pol_bio18,565.312,0.001268267398700118
pol_bio18,565.804,0.0012741581303998828
pol_bio18,566.296,0.0012800762197002769
pol_bio18,566.788,0.001286021899431944
pol_bio18,567.28,0.001291995169594884
pol_bio18,567.772,0.001297995331697166
pol_bio18,568.264,0.0013040242483839393
pol_bio18,568.756,0.001310081104747951
pol_bio18,569.248,0.001316166017204523
pol_bio18,569.74,0.001322279334999621
pol_bio18,570.232,0.0013284209417179227
pol_bio18,570.724,0.001334591070190072
pol_bio18,571.216,0.0013407899532467127
pol_bio18,571.708,0.0013470174744725227
