variable,x,y
pol_bio14,89.5,1.1075469228671864E-4
pol_bio14,89.68,1.1075469228671864E-4
pol_bio14,89.86,1.1075469228671864E-4
pol_bio14,90.04,1.1075469228671864E-4
pol_bio14,90.22,1.1075469228671864E-4
pol_bio14,90.4,1.1075469228671864E-4
pol_bio14,90.58,1.1075469228671864E-4
pol_bio14,90.76,1.1075469228671864E-4
pol_bio14,90.94,1.1075469228671864E-4
pol_bio14,91.12,1.1075469228671864E-4
pol_bio14,91.3,1.1075469228671864E-4
pol_bio14,91.48,1.1075469228671864E-4
pol_bio14,91.66,1.1075469228671864E-4
pol_bio14,91.84,1.1075469228671864E-4
pol_bio14,92.02,1.1075469228671864E-4
pol_bio14,92.2,1.1075469228671864E-4
pol_bio14,92.38,1.1075469228671864E-4
pol_bio14,92.56,1.1075469228671864E-4
pol_bio14,92.74,1.1075469228671864E-4
pol_bio14,92.92,1.1075469228671864E-4
pol_bio14,93.1,1.1075469228671864E-4
pol_bio14,93.28,1.1075469228671864E-4
pol_bio14,93.46,1.1075469228671864E-4
pol_bio14,93.64,1.1075469228671864E-4
pol_bio14,93.82,1.1075469228671864E-4
pol_bio14,94.0,1.1075469228671864E-4
pol_bio14,94.18,1.1075469228671864E-4
pol_bio14,94.36,1.1075469228671864E-4
pol_bio14,94.54,1.1075469228671864E-4
pol_bio14,94.72,1.1075469228671864E-4
pol_bio14,94.9,1.1075469228671864E-4
pol_bio14,95.08,1.1075469228671864E-4
pol_bio14,95.26,1.1075469228671864E-4
pol_bio14,95.44,1.1075469228671864E-4
pol_bio14,95.62,1.1075469228671864E-4
pol_bio14,95.8,1.1075469228671864E-4
pol_bio14,95.98,1.1075469228671864E-4
pol_bio14,96.16,1.1075469228671864E-4
pol_bio14,96.34,1.1075469228671864E-4
pol_bio14,96.52,1.1075469228671864E-4
pol_bio14,96.7,1.1075469228671864E-4
pol_bio14,96.88,1.1075469228671864E-4
pol_bio14,97.06,1.1107597674708813E-4
pol_bio14,97.24,1.1204546899534762E-4
pol_bio14,97.42,1.1302343045827001E-4
pol_bio14,97.6,1.1400991934351623E-4
pol_bio14,97.78,1.1500502296257764E-4
pol_bio14,97.96000000000001,1.1600881407503039E-4
pol_bio14,98.14,1.1702136544045061E-4
pol_bio14,98.32,1.1804274981841445E-4
pol_bio14,98.5,1.1907305452041328E-4
pol_bio14,98.68,1.2011234503006563E-4
pol_bio14,98.86,1.2116071593482047E-4
pol_bio14,99.03999999999999,1.2221823271829635E-4
pol_bio14,99.22,1.23284975416027E-4
pol_bio14,99.4,1.2436103133950382E-4
pol_bio14,99.58,1.2544648780021816E-4
pol_bio14,99.76,1.2654141755774617E-4
pol_bio14,99.94,1.27645893371664E-4
pol_bio14,100.12,1.287600171053782E-4
pol_bio14,100.3,1.2988386151846498E-4
pol_bio14,100.48,1.3101751392241567E-4
pol_bio14,100.66,1.3216106162872165E-4
pol_bio14,100.84,1.333145482931286E-4
pol_bio14,101.02,1.3447814853861928E-4
pol_bio14,101.2,1.3565189146902412E-4
pol_bio14,101.38,1.3683589349966496E-4
pol_bio14,101.56,1.3803022739011794E-4
pol_bio14,101.74,1.3923499500378966E-4
pol_bio14,101.92,1.4045025454834104E-4
pol_bio14,102.1,1.4167613699100912E-4
pol_bio14,102.28,1.4291271509137005E-4
pol_bio14,102.46000000000001,1.4416009071283042E-4
pol_bio14,102.64,1.4541835116688162E-4
pol_bio14,102.82,1.4668759831693023E-4
pol_bio14,103.0,1.4796791947446764E-4
pol_bio14,103.18,1.4925941650290042E-4
pol_bio14,103.36,1.505621912656352E-4
pol_bio14,103.53999999999999,1.5187633107416332E-4
pol_bio14,103.72,1.532019377918914E-4
pol_bio14,103.9,1.5453911328222603E-4
pol_bio14,104.08,1.558879594085738E-4
pol_bio14,104.26,1.5724859258625656E-4
pol_bio14,104.44,1.5862108557485044E-4
pol_bio14,104.62,1.600055693415925E-4
pol_bio14,104.8,1.6140213119797409E-4
pol_bio14,104.98,1.6281088755931705E-4
pol_bio14,105.16,1.64231940289028E-4
pol_bio14,105.34,1.6566531849093735E-4
pol_bio14,105.52,1.6711128409951925E-4
pol_bio14,105.7,1.6856986621860415E-4
pol_bio14,105.88,1.7004118126351386E-4
pol_bio14,106.06,1.7152534564957023E-4
pol_bio14,106.24,1.730224466882646E-4
pol_bio14,106.42,1.745326298987493E-4
pol_bio14,106.6,1.7605598259251565E-4
pol_bio14,106.78,1.7759265028871596E-4
pol_bio14,106.96000000000001,1.7914270574692637E-4
pol_bio14,107.14,1.8070630903821439E-4
pol_bio14,107.32,1.8228354747407138E-4
pol_bio14,107.5,1.8387456657364964E-4
pol_bio14,107.68,1.8547945364844054E-4
pol_bio14,107.86,1.8709836876951158E-4
pol_bio14,108.03999999999999,1.8873139924835414E-4
pol_bio14,108.22,1.903786906041205E-4
pol_bio14,108.4,1.9204035925213248E-4
pol_bio14,108.58,1.937165216077119E-4
pol_bio14,108.76,1.9540732319001108E-4
pol_bio14,108.94,1.9711288041435182E-4
pol_bio14,109.12,1.9883332424797118E-4
pol_bio14,109.3,2.005687856581062E-4
pol_bio14,109.48,2.0231939561199397E-4
pol_bio14,109.66,2.0408528507687151E-4
pol_bio14,109.84,2.0586651226039976E-4
pol_bio14,110.02,2.0766335364896804E-4
pol_bio14,110.2,2.094758820021525E-4
pol_bio14,110.38,2.1130424283910543E-4
pol_bio14,110.56,2.1314855257514864E-4
pol_bio14,110.74,2.1500895672943443E-4
pol_bio14,110.92,2.1688560082111508E-4
